time;V(Net-_R1-Pad1_);V(Net-_R2-Pad2_);
0.0066203;-0.342954;6.70237;
0.0066213;-0.345233;6.74902;
0.0066223;-0.347499;6.79541;
0.0066233;-0.349751;6.84154;
0.0066243;-0.351989;6.88739;
0.0066253;-0.354213;6.93298;
0.0066263;-0.356423;6.97829;
0.0066273;-0.358619;7.02333;
0.0066283;-0.360802;7.06809;
0.0066293;-0.362969;7.11258;
0.0066303;-0.365123;7.15679;
0.0066313;-0.367262;7.20072;
0.0066323;-0.369386;7.24436;
0.0066333;-0.371496;7.28772;
0.0066343;-0.373592;7.3308;
0.0066353;-0.375672;7.37358;
0.0066363;-0.377738;7.41608;
0.0066373;-0.379789;7.45829;
0.0066383;-0.381825;7.5002;
0.0066393;-0.383845;7.54182;
0.0066403;-0.385851;7.58315;
0.0066413;-0.387841;7.62418;
0.0066423;-0.389817;7.6649;
0.0066433;-0.391776;7.70533;
0.0066443;-0.39372;7.74546;
0.0066453;-0.395649;7.78528;
0.0066463;-0.397562;7.8248;
0.0066473;-0.399459;7.86401;
0.0066483;-0.401341;7.90291;
0.0066493;-0.403207;7.9415;
0.0066503;-0.405057;7.97978;
0.0066513;-0.40689;8.01774;
0.0066523;-0.408708;8.0554;
0.0066533;-0.41051;8.09273;
0.0066543;-0.412295;8.12975;
0.0066553;-0.414064;8.16645;
0.0066563;-0.415817;8.20283;
0.0066573;-0.417554;8.23889;
0.0066583;-0.419273;8.27463;
0.0066593;-0.420977;8.31004;
0.0066603;-0.422664;8.34512;
0.0066613;-0.424334;8.37988;
0.0066623;-0.425987;8.41431;
0.0066633;-0.427623;8.44841;
0.0066643;-0.429243;8.48217;
0.0066653;-0.430846;8.51561;
0.0066663;-0.432431;8.54871;
0.0066673;-0.434;8.58147;
0.0066683;-0.435551;8.6139;
0.0066693;-0.437085;8.64599;
0.0066703;-0.438602;8.67775;
0.0066713;-0.440102;8.70916;
0.0066723;-0.441584;8.74023;
0.0066733;-0.443049;8.77095;
0.0066743;-0.444497;8.80134;
0.0066753;-0.445926;8.83137;
0.0066763;-0.447339;8.86107;
0.0066773;-0.448733;8.89041;
0.0066783;-0.45011;8.9194;
0.0066793;-0.451469;8.94805;
0.0066803;-0.45281;8.97634;
0.0066813;-0.454134;9.00429;
0.0066823;-0.455439;9.03187;
0.0066833;-0.456727;9.05911;
0.0066843;-0.457996;9.08599;
0.0066853;-0.459247;9.11251;
0.0066863;-0.460481;9.13868;
0.0066873;-0.461696;9.16448;
0.0066883;-0.462892;9.18993;
0.0066893;-0.464071;9.21502;
0.0066903;-0.465231;9.23974;
0.0066913;-0.466373;9.2641;
0.0066923;-0.467496;9.2881;
0.0066933;-0.468601;9.31174;
0.0066943;-0.469688;9.33501;
